,v1_HL_Bin_ARB,v2_HL_Byb_ARB,v1_HL_Bin_AVAX,v2_HL_Byb_AVAX,v1_HL_Bin_BTC,v2_HL_Byb_BTC,v1_HL_Bin_DOGE,v2_HL_Byb_DOGE,v1_HL_Bin_ETH,v2_HL_Byb_ETH,v1_HL_Bin_LINK,v2_HL_Byb_LINK,v1_HL_Bin_MATIC,v2_HL_Byb_MATIC,v1_HL_Bin_OP,v2_HL_Byb_OP,v1_HL_Bin_SOL,v2_HL_Byb_SOL,v1_port,v2_port,v3_dyn_03pct_port
2024-12-21 00:00:00+00:00,1.0147949999999976e-05,8.57794999999998e-06,8.01454e-05,-1.864599999999992e-06,9.958849999999989e-06,0.00012457885,-1.9417549999999985e-05,-5.634754999999999e-05,-8.377365e-05,-1.4623650000000005e-05,2.5792250000000007e-05,2.0317250000000006e-05,,,0.00016653375,-2.6566250000000014e-05,7.345145e-05,-4.8958550000000006e-05,3.285480625e-05,6.391812499999959e-07,-0.00011722249375000002
2024-12-22 00:00:00+00:00,-2.664200000000001e-05,-2.664200000000001e-05,-5.7081749999999996e-05,-3.390675e-05,6.439694999999998e-05,0.00021350195,-4.744495000000001e-05,-9.755994999999999e-05,-0.00012207035,-5.164535000000001e-05,5.189574999999998e-05,1.5095749999999982e-05,,,5.597010000000001e-05,-1.4309900000000003e-05,0.000256723,-3.7477e-05,2.196834374999999e-05,-4.117906250000005e-06,-3.6676281250000014e-05
2024-12-23 00:00:00+00:00,2.5345349999999986e-05,-1.4824650000000002e-05,-6.518244999999999e-05,-9.286745000000001e-05,-4.340000000000698e-08,0.00010647659999999999,-3.600385e-05,-2.2778850000000006e-05,-3.2018899999999986e-05,0.0001180161,-4.948300000000009e-06,8.041699999999986e-06,,,4.5867500000000065e-06,-4.6993249999999986e-05,0.0003573367,0.0002505067,3.11339875e-05,3.81971125e-05,-0.00030520760625000006
2024-12-24 00:00:00+00:00,-6.65678e-05,-6.65678e-05,-0.0002501801,-0.00022320009999999998,-3.049194999999999e-05,8.311805e-05,-0.00018546969999999998,-0.0002477397,2.163729999999999e-05,5.00573e-05,6.293755000000001e-05,5.9807550000000017e-05,,,-1.057400000000001e-05,-1.7234000000000008e-05,0.00019898000000000002,8.604000000000001e-05,-3.24660875e-05,-3.44648375e-05,-0.00037624094375
2024-12-25 00:00:00+00:00,-6.358499999999995e-07,-6.358499999999995e-07,-5.080299999999995e-06,2.71447e-05,-2.2120599999999986e-05,3.639940000000001e-05,1.914035e-05,-6.793965e-05,0.00010877329999999999,6.31633e-05,0.0002832784,0.0002832784,,,-0.00017228034999999998,-0.00017228034999999998,0.00019354509999999997,2.8750099999999994e-05,5.057750625e-05,2.473500625e-05,-0.00028706535625
2024-12-26 00:00:00+00:00,3.541585000000001e-05,-1.851915e-05,8.761500000000001e-05,7.9285e-05,-7.224349999999992e-06,-7.224349999999992e-06,0.0001595394,-4.49506e-05,0.00010341435000000001,1.4704349999999998e-05,0.00026384554999999994,0.00026228055,,,-4.591550000000018e-06,-4.591550000000018e-06,0.00012360914999999997,1.3999149999999981e-05,9.520292499999999e-05,3.6872925e-05,-0.00029538636875
2024-12-27 00:00:00+00:00,-0.0001408979,-0.0001408979,2.4795000000000002e-05,7.8065e-05,6.403919999999997e-05,8.772919999999999e-05,-0.00019316444999999997,-0.00023075945,1.847500000000001e-05,8.1365e-05,3.42765e-05,3.42765e-05,,,-5.15128e-05,-5.15128e-05,-8.807984999999999e-05,-0.00013165484999999997,-4.150866249999999e-05,-3.4173662499999995e-05,-0.000449751975
2024-12-28 00:00:00+00:00,-8.595899999999998e-06,-8.595899999999998e-06,0.00014296,0.00011416,6.91539e-05,0.00018575890000000001,-0.00013735145,-0.00027321145000000003,3.1114999999999996e-05,9.97e-05,-0.00013434875,-0.00014281874999999997,,,3.129350000000009e-06,-2.4280650000000003e-05,9.180660000000001e-05,-2.07584e-05,7.233593750000001e-06,-8.755781249999999e-06,-0.0002803732375
2024-12-29 00:00:00+00:00,5.778340000000001e-05,-1.1281599999999999e-05,6.86137e-05,-2.9406300000000003e-05,5.5145550000000006e-05,0.00017946055,-6.282554999999998e-05,-0.00013981555,9.920399999999999e-06,3.6435399999999993e-05,-0.0001327166,6.085339999999998e-05,,,-1.1550150000000008e-05,-1.1550150000000008e-05,5.581755000000001e-05,-8.742449999999988e-06,5.023537500000005e-06,9.494162499999997e-06,-0.00020693861250000004
2024-12-30 00:00:00+00:00,-3.974370000000001e-05,-2.101370000000001e-05,1.5445000000000005e-05,3.068500000000001e-05,1.5135349999999992e-05,0.00012136535,-3.4221000000000184e-06,-5.742100000000004e-06,4.7140000000000006e-05,4.350999999999999e-05,-5.690850000000004e-06,6.138915e-05,,,-2.1281999999999943e-06,-2.1281999999999943e-06,0.0001302416,1.196600000000005e-06,1.96221375e-05,2.86577625e-05,-0.00040427163124999996
2024-12-31 00:00:00+00:00,-3.9967200000000006e-05,4.6427799999999996e-05,3.2470000000000006e-05,5.289500000000001e-05,0.00012274749999999996,0.0002700775,6.736755e-05,1.8997550000000006e-05,0.00010620315,0.00019612815,-1.2485499999999982e-06,1.860645e-05,,,1.128724999999999e-05,3.181225e-05,0.00014830905,0.00014980405,5.589609375e-05,9.809359375e-05,-0.00039716659375
2025-01-01 00:00:00+00:00,1.792500000000001e-05,5.428000000000001e-05,5.266500000000001e-05,5.919e-05,4.971945e-05,0.00014634445,2.1964999999999987e-05,6.676e-05,7.429999999999994e-06,1.2460000000000001e-05,5.599999999999992e-06,4.970000000000001e-05,,,1.607794999999999e-05,-1.140705000000001e-05,7.317050000000001e-05,9.93705e-05,3.0569112499999996e-05,5.9587237500000004e-05,-0.00024054438125
2025-01-02 00:00:00+00:00,0.0,0.0,3.5920400000000016e-05,3.86754e-05,0.0003432419,0.0003732119,7.4225e-05,4.327999999999999e-05,1.9633299999999984e-05,5.7393299999999985e-05,2.6939999999999993e-05,5.1869999999999996e-05,,,1.1795000000000003e-05,9.75000000000015e-07,0.0003790541,0.0002490441,0.0001113512125,0.00010180621249999999,-0.0002830307125
2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,5.6463200000000005e-05,5.6463200000000005e-05,0.0,0.0,9.073e-05,9.073e-05,2.7684199999999995e-05,4.721419999999998e-05,,,0.0,0.0,3.092425e-05,2.8544250000000004e-05,2.572520625e-05,2.786895625e-05,-0.000275699075
2025-01-04 00:00:00+00:00,0.0,0.0,0.0,0.0,2.378999999999998e-05,4.925000000000011e-06,0.00025653795000000004,0.00019272795000000004,4.4977650000000005e-05,4.4977650000000005e-05,0.00010033299999999999,0.00010033299999999999,,,1.3269300000000012e-05,1.3269300000000012e-05,0.000147185,0.00011034,7.326161250000001e-05,5.8321612500000005e-05,-0.0002813708
2025-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,5.7514999999999994e-05,5.552e-05,0.00018583654999999999,0.00018583654999999999,1.9177250000000017e-05,1.9177250000000017e-05,0.00014612970000000002,0.00014612970000000002,,,2.0047649999999998e-05,2.0047649999999998e-05,0.00013314999999999998,2.1455e-05,7.023201875e-05,5.602076875e-05,-0.00013467109375000003
2025-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,8.399999999999998e-06,1.261e-05,0.00012441309999999998,0.0001061331,0.0,0.0,3.733310000000002e-05,3.733310000000002e-05,,,0.0,0.0,6.648194999999999e-05,6.277194999999998e-05,2.9578518749999998e-05,2.735601875e-05,-0.00017613811874999999
2025-01-07 00:00:00+00:00,-1.0755999999999988e-05,-1.0755999999999988e-05,-1.2315200000000004e-05,-1.2315200000000004e-05,3.156649999999992e-06,3.156649999999992e-06,9.998719999999996e-05,4.338719999999997e-05,0.0,0.0,9.112030000000003e-05,9.112030000000003e-05,,,4.3270500000000054e-06,4.3270500000000054e-06,0.000129135,5.438999999999999e-05,3.8081875000000004e-05,2.166375e-05,-5.996968749999999e-05
2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.00022293165000000006,0.00026807665,1.2819850000000014e-05,2.659850000000013e-06,0.0,9.91500000000001e-06,1.0170949999999998e-05,1.0170949999999998e-05,,,0.0,0.0,0.0002305469,9.595189999999999e-05,5.955866875000001e-05,4.834679375000001e-05,-0.00023767205625
2025-01-09 00:00:00+00:00,1.059000000000001e-05,0.0,-6.77674999999999e-06,-6.3967499999999934e-06,0.00023892125000000002,0.00027316125,0.00017217500000000002,9.641999999999999e-05,5.5504299999999976e-05,0.00017919429999999997,4.9120000000000004e-05,1.6104999999999992e-05,,,9.1385e-05,0.0,0.00012703415000000001,0.00011374415,9.224411875e-05,8.402849375e-05,-0.0002884912875
2025-01-10 00:00:00+00:00,-4.057785e-05,-7.114785e-05,-1.780739999999998e-05,2.1125999999999927e-06,7.780114999999998e-05,0.00012074114999999998,4.112590000000001e-05,1.388090000000002e-05,-2.9309999999999992e-05,1.0430000000000009e-05,0.0001101,8.1485e-05,,,5.599e-05,0.0,5.263439999999999e-05,6.73444e-05,3.1244525000000004e-05,2.8105775e-05,-0.0001916938375
2025-01-11 00:00:00+00:00,-3.021289999999999e-05,-3.021289999999999e-05,4.659999999999999e-05,4.398999999999999e-05,9.24396e-05,7.29446e-05,0.0003040688,0.0001383338,-9.123185e-05,-3.712185e-05,8.85641e-05,6.313909999999999e-05,,,1.8249999999999906e-06,0.0,0.00011929760000000001,4.724760000000001e-05,6.641879375e-05,3.7290043750000005e-05,-0.00040722475625000004
2025-01-12 00:00:00+00:00,3.5229999999999986e-05,1.6499999999999963e-06,5.5975000000000005e-05,0.00012579,8.95263e-05,6.245130000000002e-05,0.0002516526,4.272259999999999e-05,3.888e-05,5.7715e-05,1.1280000000000004e-05,0.0,,,3.113999999999999e-05,0.0,0.0001363509,6.38509e-05,8.125435e-05,4.4272475e-05,-0.00011737065
2025-01-13 00:00:00+00:00,-3.093100000000002e-06,-3.093100000000002e-06,1.871499999999999e-05,1.7195000000000004e-05,0.00011730395000000001,7.567895e-05,0.000225785,1.2624999999999993e-05,9.330000000000012e-06,2.5720000000000004e-05,-3.185185000000001e-05,-3.185185000000001e-05,,,7.774539999999998e-05,-9.23960000000001e-06,0.00014058075,3.113074999999999e-05,6.931439375e-05,1.4770643749999997e-05,-0.00022866816250000001
2025-01-14 00:00:00+00:00,6.5915e-05,5.263999999999999e-05,4.202485e-05,-2.7450149999999997e-05,8.98095e-05,6.539950000000001e-05,-8.728000000000002e-06,-8.1623e-05,3.6274999999999994e-05,0.000135025,4.497025e-05,-1.2509750000000012e-05,,,0.00012467564999999999,9.28064999999998e-06,-3.5041999999999994e-05,-5.9692000000000004e-05,4.498753125e-05,1.0133781249999991e-05,-0.00046453810625
2025-01-15 00:00:00+00:00,1.649244999999998e-05,1.4207449999999996e-05,-0.00033713309999999997,-0.0003420131,1.0923000000000012e-06,-1.4277000000000135e-06,5.718e-05,4.4099999999999925e-06,-2.3023749999999998e-05,-3.449374999999999e-05,0.00011643,3.1109999999999985e-05,,,5.9619999999999995e-05,1.5545000000000008e-05,0.0001416096,3.5045999999999766e-06,4.0334375e-06,-3.86446875e-05,-0.00041039341250000003
2025-01-16 00:00:00+00:00,6.134999999999997e-06,0.0,-0.0002499493,-0.0002542093,7.23049999999993e-07,-1.301195e-05,0.00016572054999999998,4.4850549999999983e-05,-3.983200000000001e-06,-5.134319999999999e-05,4.3933850000000006e-05,4.157385000000001e-05,,,0.0,0.0,0.00010629405000000001,-2.0559499999999926e-06,8.609249999999996e-06,-2.9274500000000002e-05,-0.00017205538750000003
2025-01-17 00:00:00+00:00,0.0,0.0,-3.2818449999999994e-05,-7.6084499999999974e-06,8.72799e-05,2.29749e-05,0.00024592984999999995,0.00022342485,2.3106650000000003e-05,-8.963349999999984e-06,4.4414449999999996e-05,3.580944999999999e-05,,,5.679999999998776e-08,5.679999999998776e-08,0.00010087779999999995,0.00010087779999999995,5.8605874999999985e-05,4.582149999999999e-05,-0.00029018725
