config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,total_funding,total_fees,final_equity
A_research,U4,3.0,150.0,3,0.3,-0.15,120,4.540213867290044,6.2601365012515995,1.413578336430212,29.915601253091086,0.0157500000000027,288.26754712947667,0,0,0,0,102.59341341127644,57.19127473837602,1045.4021386729005
A_research,U4,3.0,150.0,5,0.3,-0.15,120,4.540213867290044,6.2601365012515995,1.413578336430212,29.915601253091086,0.0157500000000027,288.26754712947667,0,0,0,0,102.59341341127644,57.19127473837602,1045.4021386729005
A_research,U4,5.0,100.0,3,0.3,-0.15,120,5.026809244860031,6.966097536492158,1.4067236492295951,49.6918115580294,0.0104999999999904,478.7437376061527,0,0,0,0,108.395608940851,58.12751649225061,1050.2680924486003
A_research,U4,5.0,100.0,5,0.3,-0.15,120,5.026809244860031,6.966097536492158,1.4067236492295951,49.6918115580294,0.0104999999999904,478.7437376061527,0,0,0,0,108.395608940851,58.12751649225061,1050.2680924486003
A_research,U4,5.0,150.0,3,0.3,-0.15,120,7.5402138672900465,10.447233536576324,1.406724675465524,49.68261660409965,0.0157500000000027,478.7437376056343,0,0,0,0,162.59341341127654,87.19127473837602,1075.4021386729005
A_research,U4,5.0,150.0,5,0.3,-0.15,120,7.5402138672900465,10.447233536576324,1.406724675465524,49.68261660409965,0.0157500000000027,478.7437376056343,0,0,0,0,162.59341341127654,87.19127473837602,1075.4021386729005
A_research,U5,3.0,100.0,3,0.3,-0.15,120,15.056507947622231,8.817756414213873,3.145150395146536,158.59275535547084,0.0104999999999904,1433.9531378700883,0,2,0,0,301.76923221028653,251.2041527340641,1150.5650794762223
A_research,U5,3.0,100.0,5,0.3,-0.15,120,15.056507947622231,8.817756414213873,3.145150395146536,158.59275535547084,0.0104999999999904,1433.9531378700883,0,2,0,0,301.76923221028653,251.2041527340641,1150.5650794762223
A_research,U5,3.0,150.0,3,0.3,-0.15,120,22.58476192143324,12.895842397831252,3.142174543235678,158.78838152941069,0.0157500000000027,1433.9531378685288,0,2,0,0,452.6538483154289,376.8062291010964,1225.8476192143323
A_research,U5,3.0,150.0,5,0.3,-0.15,120,22.58476192143324,12.895842397831252,3.142174543235678,158.78838152941069,0.0157500000000027,1433.9531378685288,0,2,0,0,452.6538483154289,376.8062291010964,1225.8476192143323
A_research,U5,5.0,100.0,3,0.3,-0.15,120,25.056507947622176,14.238399212533428,3.1315788488609395,264.3340820701685,0.0104999999999904,2386.3340902519017,0,0,0,0,514.3599094647674,363.7948299885456,1250.565079476222
A_research,U5,5.0,100.0,5,0.3,-0.15,120,25.056507947622176,14.238399212533428,3.1315788488609395,264.3340820701685,0.0104999999999904,2386.3340902519017,0,0,0,0,514.3599094647674,363.7948299885456,1250.565079476222
A_research,U5,5.0,150.0,3,0.3,-0.15,120,37.58476192143323,20.562966678685612,3.1245173538241975,264.1390312814784,0.0157500000000027,2386.3340902493155,0,0,0,0,771.5398641971512,545.6922449828188,1375.8476192143323
A_research,U5,5.0,150.0,5,0.3,-0.15,120,37.58476192143323,20.562966678685612,3.1245173538241975,264.1390312814784,0.0157500000000027,2386.3340902493155,0,0,0,0,771.5398641971512,545.6922449828188,1375.8476192143323
A_research,U7,3.0,100.0,3,0.3,-0.15,120,69.08261316554433,25.31529260476639,4.167933771259955,460.3758961076331,0.0377162262661224,1831.6417098068996,0,0,0,12,1484.0705835283627,993.2444518729194,1690.8261316554433
A_research,U7,3.0,100.0,5,0.3,-0.15,120,69.08261316554433,25.31529260476639,4.167933771259955,460.3758961076331,0.0377162262661224,1831.6417098068996,0,0,0,12,1484.0705835283627,993.2444518729194,1690.8261316554433
A_research,U7,3.0,150.0,3,0.3,-0.15,120,68.14942304159732,30.43100558175198,3.473523686026596,410.6184034059439,0.0515422794988966,1322.204289452431,0,0,0,642,1447.746326321054,916.2520959050808,1681.494230415973
A_research,U7,3.0,150.0,5,0.3,-0.15,120,68.14942304159732,30.43100558175198,3.473523686026596,410.6184034059439,0.0515422794988966,1322.204289452431,0,0,0,642,1447.746326321054,916.2520959050808,1681.494230415973
A_research,U7,5.0,100.0,3,0.3,-0.15,120,80.98835276552265,32.85481745422623,3.675536314487486,695.6982428655131,0.0208761238430952,3879.4727112288865,0,0,0,340,1672.8739382281562,862.9904105729296,1809.8835276552263
A_research,U7,5.0,100.0,5,0.3,-0.15,120,80.98835276552265,32.85481745422623,3.675536314487486,695.6982428655131,0.0208761238430952,3879.4727112288865,0,0,0,340,1672.8739382281562,862.9904105729296,1809.8835276552263
A_research,U7,5.0,150.0,3,0.3,-0.15,120,80.52826213976066,40.53039943608091,3.0262943905099924,395.7594783741363,0.0313141857646542,2571.622418828999,0,0,0,755,1604.0509080424974,798.7682866448908,1805.2826213976064
A_research,U7,5.0,150.0,5,0.3,-0.15,120,80.52826213976066,40.53039943608091,3.0262943905099924,395.7594783741363,0.0313141857646542,2571.622418828999,0,0,0,755,1604.0509080424974,798.7682866448908,1805.2826213976064
B_live,U3-new,3.0,100.0,3,0.1,-0.1,120,135.20498284295817,4.667253523446501,6.2797925686755045,248.3747745993872,0.0272759160787515,4956.936458251,0,2,0,125,2067.566537095595,916.0106391299826,2351.5558979656116
B_live,U3-new,3.0,100.0,5,0.1,-0.1,120,135.20498284295817,4.667253523446501,6.2797925686755045,248.3747745993872,0.0272759160787515,4956.936458251,0,2,0,125,2067.566537095595,916.0106391299826,2351.5558979656116
B_live,U3-new,3.0,150.0,3,0.1,-0.1,120,184.0407533868903,6.052126091177114,5.919233380608858,225.7055256696656,0.0390146115409573,4717.226344639756,0,2,0,982,2614.1469655458245,924.6341600500914,2839.512805495734
B_live,U3-new,3.0,150.0,5,0.1,-0.1,120,184.0407533868903,6.052126091177114,5.919233380608858,225.7055256696656,0.0390146115409573,4717.226344639756,0,2,0,982,2614.1469655458245,924.6341600500914,2839.512805495734
