coin,strategy,filter,param,annual_pct,max_dd_pct,calmar,sharpe,trades,pct_in_pos
OP,A_spot_keep,signal_ma,24,4.95,46.78,0.11,0.1,20,30.2
AVAX,A_cycle,baseline,0,7.13,0.56,12.71,18.35,40,35.3
AVAX,A_cycle,min_hold,24,6.97,0.31,22.15,17.43,45,33.4
AVAX,A_cycle,min_hold,72,7.13,0.56,12.71,18.35,40,35.3
AVAX,A_cycle,min_hold,168,7.45,0.71,10.51,20.03,33,39.8
AVAX,A_cycle,cooldown,24,6.99,0.56,12.46,18.18,39,34.4
AVAX,A_cycle,cooldown,72,6.74,0.6,11.14,18.04,35,31.6
AVAX,A_cycle,cooldown,168,5.8,0.38,15.09,16.32,33,27.0
AVAX,A_cycle,signal_ma,6,6.98,0.43,16.34,18.99,33,31.7
AVAX,A_cycle,signal_ma,12,6.87,0.43,15.82,19.14,30,29.5
AVAX,A_cycle,signal_ma,24,6.85,0.19,35.52,19.93,26,28.0
AVAX,A_spot_keep,baseline,0,-8.77,66.19,-0.13,-0.11,40,35.3
AVAX,A_spot_keep,min_hold,24,-5.74,63.12,-0.09,-0.07,45,33.4
AVAX,A_spot_keep,min_hold,72,-8.77,66.19,-0.13,-0.11,40,35.3
AVAX,A_spot_keep,min_hold,168,-8.6,67.17,-0.13,-0.11,33,39.8
AVAX,A_spot_keep,cooldown,24,-5.79,66.05,-0.09,-0.07,39,34.4
AVAX,A_spot_keep,cooldown,72,-11.27,71.72,-0.16,-0.13,35,31.6
AVAX,A_spot_keep,cooldown,168,-17.53,79.84,-0.22,-0.19,33,27.0
AVAX,A_spot_keep,signal_ma,6,-5.77,63.23,-0.09,-0.07,33,31.7
AVAX,A_spot_keep,signal_ma,12,-4.57,62.71,-0.07,-0.05,30,29.5
AVAX,A_spot_keep,signal_ma,24,-14.82,76.0,-0.2,-0.18,26,28.0
MATIC,A_cycle,baseline,0,14.69,0.64,22.85,34.24,11,47.6
MATIC,A_cycle,min_hold,24,14.47,0.63,22.93,32.53,14,44.1
MATIC,A_cycle,min_hold,72,14.69,0.64,22.85,34.24,11,47.6
