fundingTime,fundingRate
1753603200000,0.0001
1753632000001,0.0001
1753660800002,0.0001
1753689600000,0.0001
1753718400000,0.0001
1753747200000,3.138e-05
1753776000002,7.179e-05
1753804800000,0.0001
1753833600001,7.41e-05
1753862400001,0.0001
1753891200000,1.74e-06
1753920000001,1.809e-05
1753948800000,3.892e-05
1753977600001,2.584e-05
1754006400002,7.598e-05
1754035200000,-1.36e-06
1754064000000,5.335e-05
1754092800000,-2.469e-05
1754121600000,4.754e-05
1754150400000,6.399e-05
1754179200000,-8.254e-05
1754208000000,-4.103e-05
1754236800000,-6.478e-05
1754265600000,-0.00014073
1754294400000,-3.157e-05
1754323200000,-5.907e-05
1754352000000,-2.791e-05
1754380800001,-7.42e-06
1754409600000,-3.876e-05
1754438400001,-5.997e-05
1754467200000,-2.262e-05
1754496000001,2.373e-05
1754524800000,0.0001
1754553600000,3.022e-05
1754582400001,4.562e-05
1754611200000,6.596e-05
1754640000000,1.345e-05
1754668800000,3.462e-05
1754697600001,0.0001
1754726400000,8.991e-05
1754755200000,9.306e-05
1754784000000,0.0001
1754812800000,0.0001
1754841600000,0.0001
1754870400000,9.558e-05
1754899200000,0.0001
1754928000000,3.786e-05
1754956800000,5.62e-06
1754985600000,1.442e-05
1755014400001,-1.815e-05
1755043200001,0.0001
1755072000000,0.0001
1755100800000,0.0001
1755129600000,0.0001
1755158400000,0.00025695
1755187200001,0.0001
1755216000001,0.0001
1755244800001,0.0001
1755273600000,0.0001
1755302400000,0.0001
1755331200001,0.0001
1755360000002,0.0001
1755388800000,0.0001
1755417600000,0.0001
1755446400002,0.0001
1755475200000,0.0001
1755504000000,2.101e-05
1755532800000,-3.446e-05
1755561600000,5.51e-06
1755590400001,7.946e-05
1755619200000,9.41e-05
1755648000000,4.276e-05
1755676800000,9.537e-05
1755705600001,0.0001
1755734400000,0.0001
1755763200000,0.0001
1755792000000,7.669e-05
1755820800000,7.223e-05
1755849600000,0.0001
1755878400000,0.0001
1755907200000,0.0001
1755936000000,0.0001
1755964800000,0.0001
1755993600000,0.0001
1756022400001,0.0001
1756051200000,0.0001
1756080000000,0.0001
1756108800000,0.0001
1756137600000,0.0001
1756166400002,7.114e-05
1756195200002,1.708e-05
1756224000000,5.239e-05
1756252800000,0.0001
1756281600000,0.0001
1756310400000,0.0001
1756339200001,0.0001
1756368000000,0.0001
1756396800000,0.0001
1756425600000,0.0001
1756454400001,0.0001
1756483200000,0.0001
1756512000000,3.211e-05
1756540800000,5.01e-05
1756569600000,2.944e-05
1756598400000,2.631e-05
1756627200000,0.0001
1756656000000,0.0001
1756684800000,0.0001
1756713600000,4.176e-05
1756742400000,4.904e-05
1756771200003,6.076e-05
1756800000000,0.0001
1756828800002,0.0001
1756857600000,0.0001
1756886400001,0.0001
1756915200000,8.469e-05
1756944000000,0.0001
1756972800000,0.0001
1757001600000,0.0001
1757030400000,3.556e-05
1757059200003,5.343e-05
1757088000000,5.534e-05
1757116800002,0.0001
1757145600000,0.0001
1757174400000,9.992e-05
1757203200000,3.53e-05
1757232000005,6.645e-05
1757260800001,1.998e-05
1757289600000,0.0001
1757318400000,0.0001
1757347200008,0.0001
1757376000000,7.641e-05
1757404800008,0.0001
1757433600000,0.0001
1757462400004,7.253e-05
1757491200001,0.0001
1757520000000,9.898e-05
1757548800000,2.468e-05
1757577600000,-3.515e-05
1757606400001,8.52e-05
1757635200001,0.0
1757664000000,-7.22e-06
1757692800000,6.992e-05
1757721600001,3.2e-06
1757750400001,9.693e-05
1757779200001,8.822e-05
1757808000001,1.362e-05
1757836800001,0.0001
1757865600002,6.409e-05
1757894400001,0.0001
1757923200000,0.0001
1757952000001,9.254e-05
1757980800000,0.0001
1758009600000,6.147e-05
1758038400000,0.0001
1758067200000,5.62e-05
1758096000000,0.0001
1758124800000,0.0001
1758153600000,9.957e-05
1758182400000,0.0001
1758211200000,0.0001
1758240000001,0.0001
1758268800000,0.0001
1758297600001,0.0001
1758326400000,0.0001
1758355200000,0.0001
1758384000002,0.0001
1758412800001,0.0001
1758441600000,0.0001
1758470400000,4.623e-05
1758499200001,4.197e-05
1758528000001,0.0001
1758556800001,0.0001
1758585600001,0.0001
1758614400000,0.0001
1758643200008,0.0001
1758672000000,0.0001
1758700800000,0.0001
1758729600000,0.0001
1758758400000,-8.012e-05
1758787200001,6.645e-05
1758816000000,0.0001
1758844800001,0.0001
1758873600000,0.0001
1758902400000,0.0001
1758931200001,0.0001
1758960000002,0.0001
1758988800000,0.0001
1759017600000,0.0001
1759046400000,1.996e-05
1759075200000,6.038e-05
1759104000000,-0.00015302
1759132800000,0.0001
1759161600000,1.709e-05
1759190400000,-1.804e-05
1759219200004,-5.954e-05
1759248000000,-6.34e-06
1759276800000,9.25e-05
1759305600000,0.0001
1759334400002,4.69e-06
1759363200000,6.717e-05
1759392000000,-5.314e-05
1759420800000,6.946e-05
1759449600000,-9.651e-05
1759478400000,6.642e-05
1759507200000,0.0001
1759536000003,0.0001
1759564800001,9.674e-05
1759593600000,4.799e-05
1759622400000,0.0001
1759651200001,8.093e-05
1759680000001,4.9e-07
1759708800000,-9.52e-06
1759737600001,7.757e-05
1759766400000,8.894e-05
1759795200001,0.0001
1759824000000,0.0001
1759852800000,0.0001
1759881600000,0.00051344
1759910400000,0.0001
1759939200001,0.0001
1759968000000,0.00030756
1759996800002,0.0001
1760025600000,0.0001
1760054400001,0.00029982
1760083200000,0.00025258
1760112000000,0.0001
1760140800000,-0.00288246
1760169600000,-0.00118755
1760198400000,-0.00095539
1760227200000,-0.00113497
1760256000000,-0.00103784
1760284800000,-0.00036244
1760313600000,-0.00010049
1760342400000,2.082e-05
1760371200000,6.775e-05
1760400000001,0.0001
1760428800000,1.167e-05
1760457600000,-1.045e-05
1760486400001,0.0001
1760515200000,7.841e-05
1760544000000,6.934e-05
1760572800000,-9.161e-05
1760601600000,0.0001
1760630400000,-9.639e-05
1760659200000,-3.28e-05
1760688000000,3.299e-05
1760716800000,9.449e-05
1760745600000,-5.403e-05
1760774400000,3.221e-05
1760803200000,-6.085e-05
1760832000000,9.898e-05
1760860800006,1.51e-06
1760889600000,6.319e-05
1760918400000,7.945e-05
1760947200016,8.65e-06
1760976000001,-6.097e-05
1761004800008,4.573e-05
1761033600000,-0.00011184
1761062400000,8.377e-05
1761091200000,7.85e-05
1761120000000,-4.124e-05
1761148800000,-1.33e-06
1761177600000,-2.386e-05
1761206400000,2.817e-05
1761235200000,0.0001
1761264000000,7.36e-05
1761292800004,8.573e-05
1761321600001,-1.65e-06
1761350400005,6.688e-05
1761379200000,0.0001
1761408000000,4.295e-05
1761436800004,0.0001
1761465600000,5.785e-05
1761494400001,0.0001
1761523200011,0.0001
1761552000000,0.0001
1761580800000,0.0001
1761609600000,8.403e-05
1761638400000,0.0001
1761667200000,8.12e-06
1761696000001,-9.181e-05
1761724800000,1.101e-05
1761753600001,6.478e-05
1761782400000,4.631e-05
1761811200000,3.078e-05
1761840000006,-0.00015821
1761868800000,-0.00012888
1761897600002,2.9e-05
1761926400000,-4.5e-06
1761955200000,5.53e-06
1761984000000,1.909e-05
1762012800001,-4.075e-05
1762041600001,5.431e-05
1762070400000,3.158e-05
1762099200000,-5.893e-05
1762128000001,3.567e-05
1762156800002,-0.0001396
1762185600000,-0.00012372
1762214400001,-4.658e-05
1762243200002,-0.00012877
1762272000001,-9.56e-06
1762300800000,8.443e-05
1762329600002,-0.00037786
1762358400000,1.556e-05
1762387200000,-5.145e-05
1762416000000,0.0001
1762444800001,0.0001
1762473600000,-1.279e-05
1762502400000,-7.2e-06
1762531200000,3.537e-05
1762560000002,8.984e-05
1762588800007,7.53e-06
1762617600000,8.5e-06
1762646400011,-9.628e-05
1762675200000,-2.403e-05
1762704000000,9.206e-05
1762732800000,0.0001
1762761600001,-0.00010194
1762790400000,-0.00011684
1762819200000,-4.634e-05
1762848000004,-0.00010651
1762876800000,-4.822e-05
1762905600000,4.129e-05
1762934400000,-6.265e-05
1762963200000,-2.229e-05
1762992000003,-6.926e-05
1763020800000,3.706e-05
1763049600001,-2.97e-06
1763078400000,-0.00012533
1763107200000,-1.37e-06
1763136000000,0.0001
1763164800000,0.0001
1763193600000,6.412e-05
1763222400000,-5.79e-06
1763251200000,4.457e-05
1763280000000,7.452e-05
1763308800000,2.48e-06
1763337600003,0.0001
1763366400000,0.0001
1763395200000,0.0001
1763424000000,4.285e-05
1763452800000,0.0001
1763481600000,8.615e-05
1763510400000,2.788e-05
1763539200002,8.434e-05
1763568000000,-2.25e-06
1763596800000,-9.441e-05
1763625600000,0.0001
1763654400000,0.0001
1763683200002,-8.66e-05
1763712000001,4.899e-05
1763740800000,-0.00011647
1763769600002,-3.797e-05
1763798400000,-2.46e-05
1763827200005,-4.296e-05
1763856000003,6.95e-05
1763884800000,-3.828e-05
1763913600000,3.682e-05
1763942400004,1.53e-05
1763971200000,3.977e-05
1764000000001,5.61e-06
1764028800000,-6.492e-05
1764057600000,7.989e-05
1764086400000,-0.00017795
1764115200002,6.02e-06
1764144000000,0.0001
1764172800000,-6.373e-05
1764201600010,4.502e-05
1764230400000,0.0001
1764259200000,3.918e-05
1764288000000,-4.587e-05
1764316800001,-0.00013978
1764345600000,4.204e-05
1764374400004,-7.957e-05
1764403200001,6.547e-05
1764432000004,2.552e-05
1764460800000,7.564e-05
1764489600000,7.125e-05
1764518400007,7.183e-05
1764547200011,0.0001
1764576000000,-7.386e-05
1764604800000,1.341e-05
1764633600000,-3.705e-05
1764662400002,2.424e-05
1764691200000,1.752e-05
1764720000000,-0.00013763
1764748800000,2.238e-05
1764777600000,-7.331e-05
1764806400000,-1.6e-06
1764835200000,5.698e-05
1764864000000,0.0001
1764892800000,1.21e-05
1764921600000,7.902e-05
1764950400004,5.979e-05
1764979200000,-1.213e-05
1765008000006,4.45e-06
1765036800000,-1.608e-05
1765065600000,4.732e-05
1765094400000,4.783e-05
1765123200000,-3.113e-05
1765152000003,-3.732e-05
1765180800000,7.482e-05
1765209600000,8.268e-05
1765238400000,-3.278e-05
1765267200002,3.427e-05
