time,ret_net_lo5,equity_lo5,ret_net_ls5,equity_ls5,ret_net_lo10,equity_lo10,ret_net_ls10,equity_ls10,ret_net_btc,equity_btc,ret_net_ew,equity_ew
2024-01-05 00:00:00+00:00,-0.0426552740411165,1.6291570487386486,-0.027601885829644103,1.2920967464361102,-0.0426552740411165,1.6273057435512348,-0.027601885829644103,1.2886692643630686,-0.00013567045894657959,1.2737822603789763,-0.022628472292376103,2.1278900048667544
2024-01-06 00:00:00+00:00,-0.025194730648723983,1.5881108757112083,0.002840684130304692,1.2957671851585295,-0.025194730648723983,1.58630621365934,0.002840684130304692,1.292329966691556,-0.00400474707164622,1.2686810846018088,-0.038561759211935456,2.0458348228695984
2024-01-07 00:00:00+00:00,-0.04437358931975122,1.5176406959181687,-0.024743261769456886,1.2637056785038798,-0.04437358931975122,1.5159161131990508,-0.024743261769456886,1.2603535080331933,-0.0008938253724500855,1.2675471052588443,-0.02925252721020845,1.9859889840460134
2024-01-08 00:00:00+00:00,0.10260186741859223,1.6733534653898248,0.04816369645767519,1.3245704152151812,0.10260186741859223,1.6714519372632075,0.04816369645767519,1.3210567918234704,0.06879324874536241,1.35474578856738,0.06395015391531737,2.1129932852498805
2024-01-09 00:00:00+00:00,0.006635091966103792,1.6844563195244848,0.03699416620623656,1.3735717933075153,0.006301758632770458,1.6819850239381169,0.036327499539569895,1.3690474818201832,-0.01791312822889546,1.3304780535392164,-0.0069037534936250144,2.09840570047483
2024-01-10 00:00:00+00:00,0.10630897627285722,1.8635291464294779,0.02631144878062648,1.4097124571936392,0.10630897627285722,1.8607951299392556,0.02631144878062648,1.4050691045163406,0.011797657774886172,1.3461745782918688,0.08445514072336859,2.275626849203151
2024-01-11 00:00:00+00:00,-0.012611285361323386,1.8400276485847122,-0.03022290565634104,1.3671068505973072,-0.012611285361323386,1.8373281115566307,-0.03022290565634104,1.3626038335299038,-0.006748190240534524,1.337090336140584,0.002114297640772386,2.2804382016816995
2024-01-12 00:00:00+00:00,-0.028157403920803938,1.7882172468580655,0.020601194455367414,1.3952708846677273,-0.028157403920803938,1.7855937217844828,0.020601194455367414,1.3906751000700825,-0.07674783056058854,1.234471553578266,-0.04527873056472314,2.1771828547782524
2024-01-13 00:00:00+00:00,0.005741302567963236,1.7984839431295276,-0.0050523391991664016,1.388221502883665,0.005741302567963236,1.795845355604703,-0.0050523391991664016,1.3836489377486938,0.0015253818538460973,1.2363545940851834,0.023940758098227197,2.229306262840106
2024-01-14 00:00:00+00:00,-0.06759987388226203,1.676906655394698,-0.057729025223931515,1.3080808287272898,-0.06759987388226203,1.674446436053779,-0.057729025223931515,1.3037722333203334,-0.0260371606696137,1.2041634308743725,-0.03661129305249809,2.1476884779474976
2024-01-15 00:00:00+00:00,0.04771379831755229,1.7569182413475621,0.015057878287398501,1.3277777506363446,0.04771379831755229,1.7543406355971933,0.015057878287398501,1.3234042769241607,0.018660583456239666,1.2266338230711555,0.030556423762824032,2.213314157190196
2024-01-16 00:00:00+00:00,0.017188244155407203,1.7871165810409326,0.009965935322639456,1.3410102978220262,0.01685491082207387,1.7839098905617246,0.008965935322639455,1.3352698340767672,0.014745560571238991,1.2447212264079817,0.014468380670702783,2.2453372289602798
2024-01-17 00:00:00+00:00,-0.04273613689288065,1.7107421221900305,-0.03714313433951484,1.2912009721793498,-0.04273613689288065,1.7076724732741149,-0.03714313433951484,1.2856737272501522,-0.008388205744593757,1.2342802486662083,-0.012039295399045311,2.218304950790353
2024-01-18 00:00:00+00:00,-0.06960456654328132,1.5916666583076602,-0.021627544117318813,1.263275466189216,-0.06960456654328132,1.588810670973977,-0.021627544117318813,1.2578677619935719,-0.0338647048234878,1.1924817123756661,-0.058594981949527926,2.0883234122402436
2024-01-19 00:00:00+00:00,0.011203394164767195,1.6094987272595986,0.01702654962443232,1.2847846886036147,0.011203394164767195,1.6066107431740866,0.01702654962443232,1.2792849098641292,0.008022019236585853,1.2020478236116205,0.011207685692278571,2.1117286846684586
2024-01-20 00:00:00+00:00,-0.011575884006716273,1.590867356683884,-0.053472611813881625,1.216083895685495,-0.011575884006716273,1.5880128035671592,-0.053472611813881625,1.210878204479608,0.0008884028264701804,1.2031157262956695,0.004760218667806338,2.1217809749745595
2024-01-21 00:00:00+00:00,-0.023415499286898196,1.553616403227903,-0.007879408454426917,1.2065018739565383,-0.023415499286898196,1.5508286908976472,-0.007879408454426917,1.2013372005179501,-0.00277508367701107,1.1997769794820712,-0.014428620857154415,2.091166601744728
2024-01-22 00:00:00+00:00,-0.07010834620176601,1.4446949265656588,-0.003757404385787231,1.2019685585238735,-0.07010834620176601,1.4421026561365635,-0.003757404385787231,1.1968232908519147,-0.048395719803089654,1.1417129089568596,-0.06304227465388434,1.959334702490507
