time,trend_only,carry_only,static_50_50,hard_er,soft_er,hard_mom,soft_mom
2024-03-17 00:00:00+00:00,0.0635667802854265,0.0004943009069553472,0.032030540596190926,0.0635667802854265,0.047798660440808716,0.0635667802854265,0.047798660440808716
2024-03-18 00:00:00+00:00,-0.024990820995844407,0.0006669811424546701,-0.012161919926694869,-0.024990820995844407,-0.01857637046126964,-0.024990820995844407,-0.01857637046126964
2024-03-19 00:00:00+00:00,-0.10663187858656385,0.0003889050767680313,-0.05312148675489791,-0.10663187858656385,-0.07987668267073088,-0.10663187858656385,-0.07987668267073088
2024-03-20 00:00:00+00:00,0.11262242657599887,0.00047816839416348067,0.056550297485081176,-2.183160583651934e-05,0.028264232939622328,0.11262242657599887,0.08458636203054003
2024-03-21 00:00:00+00:00,-0.03513561761322118,0.0006601351208372908,-0.017237741246191946,0.0006601351208372908,-0.008288803062677328,-0.03513561761322118,-0.026186679429706566
2024-03-22 00:00:00+00:00,-0.03150411869466285,0.0006435487948110996,-0.015430284949925877,0.0006435487948110996,-0.0073933680775573885,-0.03150411869466285,-0.023467201822294365
2024-03-23 00:00:00+00:00,-0.004541383618571593,0.0006137319572119271,-0.001963825830679833,0.0006137319572119271,-0.0006750469367339529,-0.004541383618571593,-0.003252604724625713
2024-03-24 00:00:00+00:00,0.05101430707802985,0.0005793197586145826,0.025796813418322215,0.0005793197586145826,0.013188066588468399,0.05101430707802985,0.038405560248176034
2024-03-25 00:00:00+00:00,0.035572594107731614,0.000988002544057176,0.018280298325894395,0.000988002544057176,0.009634150434975786,0.035572594107731614,0.026926446216813005
2024-03-26 00:00:00+00:00,0.002820976344357702,0.0011202626496631396,0.0019706194970104205,0.002320976344357702,0.0021457979206840616,0.002820976344357702,0.0023957979206840614
2024-03-27 00:00:00+00:00,-0.01769934751000971,0.0011637762513381222,-0.008267785629335793,-0.01769934751000971,-0.012983566569672752,-0.01769934751000971,-0.012983566569672752
2024-03-28 00:00:00+00:00,0.01783781874010315,0.001078046951746181,0.009457932845924666,0.000578046951746181,0.005017989898835423,0.01783781874010315,0.013647875793013908
