time,coin,position_delta,new_position
2024-05-19 18:00:00+00:00,BTC,1.0,1.0
2024-05-20 07:00:00+00:00,BTC,-1.0,0.0
2024-05-20 16:00:00+00:00,BTC,-1.0,-1.0
2024-05-21 19:00:00+00:00,BTC,1.0,0.0
2024-05-23 13:00:00+00:00,BTC,1.0,1.0
2024-05-24 15:00:00+00:00,BTC,-1.0,0.0
2024-05-26 21:00:00+00:00,BTC,1.0,1.0
2024-05-27 01:00:00+00:00,BTC,-1.0,0.0
2024-05-27 05:00:00+00:00,BTC,1.0,1.0
2024-05-27 13:00:00+00:00,BTC,-1.0,0.0
2024-05-27 14:00:00+00:00,BTC,-1.0,-1.0
2024-05-28 10:00:00+00:00,BTC,1.0,0.0
2024-05-30 17:00:00+00:00,BTC,-1.0,-1.0
2024-05-30 22:00:00+00:00,BTC,1.0,0.0
2024-06-02 11:00:00+00:00,BTC,-1.0,-1.0
2024-06-02 18:00:00+00:00,BTC,1.0,0.0
2024-06-03 01:00:00+00:00,BTC,-1.0,-1.0
2024-06-04 06:00:00+00:00,BTC,1.0,0.0
2024-06-04 15:00:00+00:00,BTC,-1.0,-1.0
2024-06-06 05:00:00+00:00,BTC,1.0,0.0
2024-06-06 19:00:00+00:00,BTC,1.0,1.0
2024-06-07 03:00:00+00:00,BTC,-1.0,0.0
2024-06-07 11:00:00+00:00,BTC,-1.0,-1.0
2024-06-07 15:00:00+00:00,BTC,1.0,0.0
2024-06-07 17:00:00+00:00,BTC,1.0,1.0
2024-06-09 06:00:00+00:00,BTC,-1.0,0.0
2024-06-09 17:00:00+00:00,BTC,-1.0,-1.0
2024-06-10 06:00:00+00:00,BTC,1.0,0.0
2024-06-10 15:00:00+00:00,BTC,-1.0,-1.0
2024-06-10 19:00:00+00:00,BTC,1.0,0.0
2024-06-11 01:00:00+00:00,BTC,1.0,1.0
2024-06-12 09:00:00+00:00,BTC,-1.0,0.0
2024-06-14 16:00:00+00:00,BTC,1.0,1.0
2024-06-15 10:00:00+00:00,BTC,-1.0,0.0
2024-06-16 22:00:00+00:00,BTC,-1.0,-1.0
2024-06-17 02:00:00+00:00,BTC,1.0,0.0
2024-06-17 09:00:00+00:00,BTC,1.0,1.0
2024-06-17 20:00:00+00:00,BTC,-1.0,0.0
2024-06-18 01:00:00+00:00,BTC,1.0,1.0
2024-06-19 02:00:00+00:00,BTC,-1.0,0.0
2024-06-20 07:00:00+00:00,BTC,-1.0,-1.0
2024-06-20 13:00:00+00:00,BTC,1.0,0.0
2024-06-21 07:00:00+00:00,BTC,1.0,1.0
2024-06-22 03:00:00+00:00,BTC,-1.0,0.0
2024-06-23 16:00:00+00:00,BTC,1.0,1.0
2024-06-25 09:00:00+00:00,BTC,-1.0,0.0
2024-06-28 19:00:00+00:00,BTC,1.0,1.0
2024-06-29 07:00:00+00:00,BTC,-1.0,0.0
2024-06-30 13:00:00+00:00,BTC,-1.0,-1.0
2024-07-02 06:00:00+00:00,BTC,1.0,0.0
2024-07-03 01:00:00+00:00,BTC,1.0,1.0
2024-07-05 15:00:00+00:00,BTC,-1.0,0.0
2024-07-07 23:00:00+00:00,BTC,1.0,1.0
2024-07-08 09:00:00+00:00,BTC,-1.0,0.0
2024-07-10 04:00:00+00:00,BTC,-1.0,-1.0
2024-07-10 13:00:00+00:00,BTC,1.0,0.0
2024-07-13 12:00:00+00:00,BTC,-1.0,-1.0
2024-07-16 06:00:00+00:00,BTC,1.0,0.0
2024-07-17 01:00:00+00:00,BTC,-1.0,-1.0
2024-07-17 11:00:00+00:00,BTC,1.0,0.0
2024-07-18 15:00:00+00:00,BTC,1.0,1.0
2024-07-19 03:00:00+00:00,BTC,-1.0,0.0
2024-07-19 14:00:00+00:00,BTC,-1.0,-1.0
2024-07-21 06:00:00+00:00,BTC,1.0,0.0
2024-07-21 16:00:00+00:00,BTC,-1.0,-1.0
2024-07-21 18:00:00+00:00,BTC,1.0,0.0
2024-07-21 20:00:00+00:00,BTC,-1.0,-1.0
2024-07-22 06:00:00+00:00,BTC,1.0,0.0
2024-07-22 19:00:00+00:00,BTC,-1.0,-1.0
2024-07-22 23:00:00+00:00,BTC,1.0,0.0
2024-07-23 13:00:00+00:00,BTC,1.0,1.0
2024-07-23 14:00:00+00:00,BTC,-1.0,0.0
2024-07-23 16:00:00+00:00,BTC,1.0,1.0
2024-07-24 08:00:00+00:00,BTC,-1.0,0.0
2024-07-25 01:00:00+00:00,BTC,1.0,1.0
2024-07-25 17:00:00+00:00,BTC,-1.0,0.0
2024-07-29 02:00:00+00:00,BTC,-1.0,-1.0
2024-07-29 14:00:00+00:00,BTC,1.0,0.0
2024-07-30 01:00:00+00:00,BTC,1.0,1.0
2024-07-31 06:00:00+00:00,BTC,-1.0,0.0
2024-07-31 19:00:00+00:00,BTC,1.0,1.0
2024-08-01 20:00:00+00:00,BTC,-1.0,0.0
2024-08-02 18:00:00+00:00,BTC,1.0,1.0
2024-08-04 12:00:00+00:00,BTC,-1.0,0.0
2024-08-04 14:00:00+00:00,BTC,1.0,1.0
2024-08-06 00:00:00+00:00,BTC,-1.0,0.0
2024-08-08 14:00:00+00:00,BTC,-1.0,-1.0
2024-08-10 01:00:00+00:00,BTC,1.0,0.0
2024-08-11 15:00:00+00:00,BTC,1.0,1.0
2024-08-12 11:00:00+00:00,BTC,-1.0,0.0
2024-08-13 16:00:00+00:00,BTC,-1.0,-1.0
2024-08-14 13:00:00+00:00,BTC,1.0,0.0
2024-08-15 19:00:00+00:00,BTC,1.0,1.0
2024-08-16 06:00:00+00:00,BTC,-1.0,0.0
2024-08-18 02:00:00+00:00,BTC,-1.0,-1.0
2024-08-18 17:00:00+00:00,BTC,1.0,0.0
2024-08-18 23:00:00+00:00,BTC,1.0,1.0
2024-08-19 17:00:00+00:00,BTC,-1.0,0.0
2024-08-20 00:00:00+00:00,BTC,-1.0,-1.0
2024-08-20 14:00:00+00:00,BTC,1.0,0.0
2024-08-21 19:00:00+00:00,BTC,-1.0,-1.0
2024-08-22 02:00:00+00:00,BTC,1.0,0.0
2024-08-23 16:00:00+00:00,BTC,-1.0,-1.0
2024-08-25 06:00:00+00:00,BTC,1.0,0.0
2024-08-25 22:00:00+00:00,BTC,-1.0,-1.0
2024-08-26 00:00:00+00:00,BTC,1.0,0.0
2024-08-26 06:00:00+00:00,BTC,1.0,1.0
2024-08-29 06:00:00+00:00,BTC,-1.0,0.0
2024-08-30 15:00:00+00:00,BTC,1.0,1.0
