date,longs,shorts
2024-05-27 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
2024-05-28 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
2024-05-29 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
2024-05-30 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
2024-05-31 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
2024-06-01 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
2024-06-02 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-03 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-04 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-05 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-06 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-07 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-08 00:00:00+00:00,"['ARB', 'UNI', 'INJ']","['BTC', 'ETH', 'TIA']"
2024-06-09 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-10 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-11 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-12 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-13 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-14 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-15 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['BTC', 'ETH', 'INJ']"
2024-06-16 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-17 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-18 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-19 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-20 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-21 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-22 00:00:00+00:00,"['AVAX', 'INJ', 'TIA']","['ETH', 'OP', 'UNI']"
2024-06-23 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-24 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-25 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-26 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-27 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-28 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-29 00:00:00+00:00,"['SOL', 'AVAX', 'OP']","['DOGE', 'UNI', 'INJ']"
2024-06-30 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-01 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-02 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-03 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-04 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-05 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-06 00:00:00+00:00,"['ARB', 'UNI', 'TIA']","['SOL', 'AVAX', 'AAVE']"
2024-07-07 00:00:00+00:00,"['ARB', 'OP', 'INJ']","['BTC', 'AVAX', 'TIA']"
2024-07-08 00:00:00+00:00,"['ARB', 'OP', 'INJ']","['BTC', 'AVAX', 'TIA']"
2024-07-09 00:00:00+00:00,"['ARB', 'OP', 'INJ']","['BTC', 'AVAX', 'TIA']"
2024-07-10 00:00:00+00:00,"['ARB', 'OP', 'INJ']","['BTC', 'AVAX', 'TIA']"
