venue,coin,listed,volume_24h_usd,top_of_book_spread_bps,depth_1pct_usd,max_leverage,taker_fee_bps,fetched_at
backpack,DOT,1,374461.6,,0.0,10,7.0,2026-06-19T13:01:57Z
backpack,EIGEN,0,0.0,,0.0,0,7.0,2026-06-19T13:01:57Z
backpack,ENA,1,237193.91,,0.0,12,7.0,2026-06-19T13:01:57Z
backpack,ETH,1,29526918.36,0.059,7041177.68,50,7.0,2026-06-19T13:01:58Z
backpack,INJ,0,0.0,,0.0,0,7.0,2026-06-19T13:01:58Z
backpack,JTO,1,1136110.28,0.136,71796.41,10,7.0,2026-06-19T13:01:58Z
backpack,JUP,1,319277.23,1.077,46875.5,10,7.0,2026-06-19T13:01:58Z
backpack,LINK,1,132853.77,,0.0,15,7.0,2026-06-19T13:01:58Z
backpack,LTC,1,194873.14,,0.0,15,7.0,2026-06-19T13:01:58Z
backpack,NEAR,1,865458.12,,0.0,20,7.0,2026-06-19T13:01:58Z
backpack,PENDLE,1,151003.46,0.738,89156.82,20,7.0,2026-06-19T13:01:59Z
backpack,PYTH,1,92022.06,0.283,37581.5,10,7.0,2026-06-19T13:01:59Z
backpack,SOL,1,7622501.99,1.459,4846568.17,50,7.0,2026-06-19T13:02:00Z
backpack,SUI,1,475559.6,,0.0,20,7.0,2026-06-19T13:02:00Z
backpack,TAO,1,466243.75,3.508,287214.24,10,7.0,2026-06-19T13:02:00Z
backpack,TRX,0,0.0,,0.0,0,7.0,2026-06-19T13:02:00Z
backpack,UNI,1,470358.1,,0.0,10,7.0,2026-06-19T13:02:00Z
backpack,WLD,1,781401.14,2.589,270581.65,10,7.0,2026-06-19T13:02:01Z
backpack,XLM,1,710691.42,,0.0,20,7.0,2026-06-19T13:02:01Z
backpack,XRP,1,744844.68,,0.0,25,7.0,2026-06-19T13:02:01Z
backpack,ZRO,1,1019921.15,1.049,61993.38,20,7.0,2026-06-19T13:02:01Z
edgex,AAVE,1,363719.64,,0.0,10,3.8,2026-06-19T13:02:46Z
edgex,ADA,1,380607.55,,0.0,10,3.8,2026-06-19T13:02:46Z
edgex,APT,1,0.0,,0.0,10,3.8,2026-06-19T13:02:47Z
edgex,ARB,1,0.0,,0.0,8,3.8,2026-06-19T13:02:47Z
edgex,ATOM,1,0.0,,0.0,8,3.8,2026-06-19T13:02:48Z
edgex,AVAX,1,0.0,,0.0,8,3.8,2026-06-19T13:02:48Z
edgex,BCH,1,495058.6,,0.0,10,3.8,2026-06-19T13:02:49Z
edgex,BNB,1,8808321.84,,0.0,50,3.8,2026-06-19T13:02:49Z
edgex,BTC,1,160418404.79,0.398,16754498.27,100,3.8,2026-06-19T13:02:51Z
edgex,CRV,1,0.0,679.612,884.71,8,3.8,2026-06-19T13:02:52Z
edgex,DOGE,1,18280803.29,,0.0,10,3.8,2026-06-19T13:02:52Z
edgex,DOT,1,324080.91,,0.0,10,3.8,2026-06-19T13:02:53Z
edgex,EIGEN,1,0.0,,0.0,5,3.8,2026-06-19T13:02:54Z
edgex,ENA,1,10615987.1,,0.0,5,3.8,2026-06-19T13:02:55Z
edgex,ETH,1,114971378.02,0.887,17014372.3,100,3.8,2026-06-19T13:02:56Z
edgex,INJ,0,0.0,,0.0,0,3.8,2026-06-19T13:02:56Z
edgex,JTO,1,0.0,518.257,10236.85,5,3.8,2026-06-19T13:02:57Z
edgex,JUP,1,0.0,533.333,8065.94,5,3.8,2026-06-19T13:02:59Z
edgex,LINK,1,684442.6,,0.0,10,3.8,2026-06-19T13:02:59Z
edgex,LTC,1,1083985.65,,0.0,10,3.8,2026-06-19T13:03:00Z
edgex,NEAR,1,0.0,,0.0,5,3.8,2026-06-19T13:03:00Z
edgex,PENDLE,1,329443.97,3.69,141420.59,5,3.8,2026-06-19T13:03:02Z
edgex,PYTH,1,0.0,352.564,7773.61,5,3.8,2026-06-19T13:03:03Z
edgex,SOL,1,21524751.16,4.381,11706061.39,75,3.8,2026-06-19T13:03:04Z
edgex,SUI,1,2533841.97,,0.0,8,3.8,2026-06-19T13:03:05Z
edgex,TAO,1,1098160.27,13.181,336921.92,8,3.8,2026-06-19T13:03:06Z
edgex,TRX,1,0.0,,0.0,10,3.8,2026-06-19T13:03:07Z
edgex,UNI,1,748409.69,,0.0,8,3.8,2026-06-19T13:03:07Z
edgex,WLD,1,0.0,587.956,12544.63,8,3.8,2026-06-19T13:03:09Z
edgex,XLM,1,0.0,,0.0,10,3.8,2026-06-19T13:03:09Z
edgex,XRP,1,15453810.89,,0.0,15,3.8,2026-06-19T13:03:10Z
edgex,ZRO,0,0.0,,0.0,0,3.8,2026-06-19T13:03:10Z
