ts_ms,coin,funding_rate,annualized_pct
1774738813000,BTC,5.0935e-06,4.4619
1774738813000,ETH,2.0666e-06,1.8103
1774738800000,SOL,1.56711e-05,13.7279
1774735213000,BTC,3.9744e-06,3.4816
1774735213000,ETH,5.8065e-06,5.0865
1774735201000,SOL,1.82494e-05,15.9865
1774731603000,BTC,4.6841e-06,4.1033
1774731603000,ETH,1.23336e-05,10.8042
1774731603000,SOL,2.57537e-05,22.5602
1774728013000,BTC,4.6967e-06,4.1143
1774728013000,ETH,1.017e-05,8.9089
1774728013000,SOL,2.72833e-05,23.9002
1774724403000,BTC,5.034e-06,4.4098
1774724403000,ETH,9.0872e-06,7.9604
1774724402000,SOL,2.73631e-05,23.9701
1774720822000,BTC,5.6544e-06,4.9533
1774720822000,ETH,5.0268e-06,4.4034
1774720801000,SOL,1.4867e-05,13.0235
1774717212000,BTC,5.0597e-06,4.4323
1774717212000,ETH,3.6455e-06,3.1935
1774717205000,SOL,-3.668e-07,-0.3213
1774713601000,BTC,5.5963e-06,4.9024
1774713601000,ETH,6.2237e-06,5.4519
1774713601000,SOL,-5.5534e-06,-4.8648
1774710011000,ETH,6.2863e-06,5.5068
1774710001000,BTC,4.4628e-06,3.9094
1774710001000,SOL,-9.0792e-06,-7.9534
1774706420000,SOL,-1.29667e-05,-11.3588
1774706419000,ETH,5.7239e-06,5.0141
1774706412000,BTC,7.2262e-06,6.3302
1774702809000,BTC,7.9906e-06,6.9997
1774702809000,ETH,6.9154e-06,6.0579
1774702809000,SOL,-3.8773e-06,-3.3965
1774699219000,BTC,8.1604e-06,7.1485
1774699219000,ETH,3.1212e-06,2.7342
1774699205000,SOL,3.5854e-06,3.1408
1774695619000,BTC,7.9917e-06,7.0007
1774695619000,ETH,-1.7268e-06,-1.5127
1774695619000,SOL,-2.9962e-06,-2.6247
1774692016000,BTC,8.2776e-06,7.2512
1774692016000,ETH,-9.4858e-06,-8.3096
1774692016000,SOL,-6.8187e-06,-5.9732
1774688416000,BTC,8.2328e-06,7.212
1774688416000,ETH,-5.7673e-06,-5.0521
1774688409000,SOL,-5.7079e-06,-5.0001
1774684816000,ETH,-6.9514e-06,-6.0894
1774684808000,BTC,8.2692e-06,7.2438
1774684808000,SOL,-8.0707e-06,-7.0699
1774681206000,BTC,8.569e-06,7.5065
1774681206000,ETH,5.64e-07,0.4941
1774681206000,SOL,-1.09306e-05,-9.5752
1774677606000,BTC,9.13e-06,7.9979
1774677606000,ETH,-4.6031e-06,-4.0323
1774677606000,SOL,-8.4115e-06,-7.3685
1774674005000,ETH,7.494e-07,0.6565
1774674004000,BTC,1.03746e-05,9.0881
1774674001000,SOL,-4.758e-06,-4.168
1774670415000,ETH,-1.5406e-06,-1.3496
1774670415000,SOL,-6.7743e-06,-5.9343
1774670413000,BTC,8.3411e-06,7.3068
1774666801000,BTC,8.444e-06,7.3969
1774666801000,ETH,-3.5229e-06,-3.0861
1774666801000,SOL,-9.8994e-06,-8.6718
1774663211000,ETH,-2.0139e-06,-1.7642
1774663211000,SOL,5.45e-08,0.0477
1774663206000,BTC,8.8827e-06,7.7813
1774659601000,BTC,1.04596e-05,9.1626
1774659601000,ETH,3.4709e-06,3.0405
1774659601000,SOL,1.7962e-05,15.7347
1774656011000,BTC,8.7648e-06,7.678
1774656011000,ETH,-1.9965e-06,-1.7489
1774656011000,SOL,2.41783e-05,21.1802
1774652401000,BTC,9.71e-06,8.506
1774652401000,ETH,-1.28673e-05,-11.2718
1774652400000,SOL,2.37592e-05,20.8131
1774648801000,BTC,1.05474e-05,9.2395
1774648801000,ETH,-1.6174e-05,-14.1684
1774648801000,SOL,2.21012e-05,19.3607
1774645211000,BTC,1.05069e-05,9.2041
1774645211000,ETH,-4.6969e-06,-4.1145
1774645211000,SOL,1.76993e-05,15.5045
1774641619000,BTC,1.15313e-05,10.1014
1774641619000,SOL,1.11993e-05,9.8106
1774641607000,ETH,9.9571e-06,8.7224
1774638010000,BTC,9.466e-06,8.2922
1774638010000,ETH,1.3674e-05,11.9784
1774638010000,SOL,-1.3029e-06,-1.1413
1774634409000,SOL,-1.40073e-05,-12.2704
1774634406000,BTC,9.1081e-06,7.9787
1774634406000,ETH,5.0949e-06,4.4632
1774630819000,BTC,1.02293e-05,8.9609
1774630819000,ETH,-3.6014e-06,-3.1548
1774630819000,SOL,-1.05717e-05,-9.2608
1774627209000,BTC,9.2378e-06,8.0923
1774627205000,SOL,-1.33441e-05,-11.6894
1774627200000,ETH,-5.7177e-06,-5.0087
1774623619000,BTC,6.0017e-06,5.2575
